Date of Race,Time,Track,Horse,Distance,Place,Industry SP,Betfair SP,Predicted_Win_Probability,Race_ID,Predicted_Rank,Top_3_Flag,Odds_To_Use,Expected_Value,Field_Size,Kelly_Fraction,Reject_Reason,Winrate_Threshold,Bet_Placed,Stake,Actual_Result,Bet_Return,Bankroll_After_Race,Max_Bankroll,Drawdown,R_Multiple
2023-05-18,14:35:00,SALISBURY,Novation,5f,4.0,2.38,2.48,0.25838815111718577,2023-05-18_14:35:00,1.0,True,2.38,-0.3850362003410979,5,-0.2790117393776072,kelly_low|ev_low|,0,False,0.0,0,0.0,10000.0,10000.0,0.0,0.0
2023-05-27,20:10:00,SALISBURY,Graham,1m4f,2.0,3.0,3.38,0.39936694417932006,2023-05-27_20:10:00,1.0,True,3.0,0.19810083253796018,4,0.09905041626898009,,0,True,99.05041626898009,0,-99.05041626898009,9900.94958373102,10000.0,99.05041626897946,-1.0
2023-06-13,17:45:00,SALISBURY,Sea Of Charm,1m4f,2.0,5.0,5.68,0.47093633505229465,2023-06-13_17:45:00,1.0,True,5.0,1.3546816752614732,4,0.3386704188153683,,0,True,335.3158742192031,0,-335.3158742192031,9565.633709511818,10000.0,434.36629048818213,-1.0
2023-06-18,14:50:00,SALISBURY,Under The Twilight,7f,1.0,3.5,3.82,0.32166054518091775,2023-06-18_14:50:00,1.0,True,3.5,0.1258119081332122,5,0.050324763253284874,,0,True,48.13882517988234,1,120.34706294970584,9685.980772461524,10000.0,314.0192275384761,2.5
2023-06-18,15:25:00,SALISBURY,Alyanaabi,6f,1.0,2.38,2.58,0.315978473331624,2023-06-18_15:25:00,1.0,True,2.38,-0.24797123347073496,5,-0.17968929961647462,kelly_low|ev_low|,0,False,0.0,1,0.0,9685.980772461524,10000.0,314.0192275384761,0.0
2023-08-17,16:10:00,SALISBURY,Embesto,1m,1.0,1.91,2.01,0.3809391066036588,2023-08-17_16:10:00,1.0,True,1.91,-0.2724063063870117,5,-0.2993475894362766,kelly_low|ev_low|,0,False,0.0,1,0.0,9685.980772461524,10000.0,314.0192275384761,0.0
2023-09-01,18:43:00,SALISBURY,The Defiant,5f,5.0,7.0,7.12,0.39912382950092395,2023-09-01_18:43:00,1.0,True,7.0,1.7938668065064678,5,0.2989778010844113,,0,True,289.58932326964344,0,-289.58932326964344,9396.39144919188,10000.0,603.6085508081196,-1.0
2023-09-07,16:45:00,SALISBURY,Just Bring It,1m,1.0,3.0,3.06,0.41688693090842993,2023-09-07_16:45:00,1.0,True,3.0,0.25066079272528985,5,0.12533039636264492,,0,True,117.76534647057859,1,235.53069294115718,9631.922142133037,10000.0,368.0778578669633,2.0
2023-09-15,18:40:00,SALISBURY,Berkshire Rocco,1m6f,4.0,3.5,3.42,0.47917567255909976,2023-09-15_18:40:00,1.0,True,3.5,0.6771148539568491,4,0.27084594158273967,,0,True,260.87670218376616,0,-260.87670218376616,9371.04543994927,10000.0,628.9545600507299,-1.0
2024-05-05,15:20:00,SALISBURY,Lihou,5f,4.0,4.33,4.52,0.3304805638136074,2024-05-05_15:20:00,1.0,True,4.33,0.43098084131292014,5,0.12942367606994598,,0,True,121.28351494567389,0,-121.28351494567389,9249.761925003597,10000.0,750.2380749964032,-1.0
2024-05-05,16:30:00,SALISBURY,Hakuna Babe,1m2f,2.0,2.63,2.92,0.2996436477303868,2024-05-05_16:30:00,1.0,True,2.63,-0.21193720646908276,5,-0.130022826054652,kelly_low|ev_low|,0,False,0.0,0,0.0,9249.761925003597,10000.0,750.2380749964032,0.0
2024-05-05,17:05:00,SALISBURY,Sam Hawkens,1m4f,1.0,1.44,1.5,0.5865383704788701,2024-05-05_17:05:00,1.0,True,1.44,-0.15538474651042705,4,-0.3531471511600615,kelly_low|ev_low|,0,False,0.0,1,0.0,9249.761925003597,10000.0,750.2380749964032,0.0
2024-05-16,17:02:00,SALISBURY,East India Dock,1m4f,1.0,3.5,3.97,0.3140103030885128,2024-05-16_17:02:00,1.0,True,3.5,0.09903606080979488,5,0.03961442432391795,,0,True,36.642399379231264,1,91.60599844807817,9341.367923451675,10000.0,658.6320765483251,2.5
