Date of Race,Time,Track,Horse,Distance,Place,Industry SP,Betfair SP,Predicted_Win_Probability
2023-10-05,13:52:00,SALISBURY,Houstonn,1m,4,2.2,2.35,0.6809088
2023-10-05,13:52:00,SALISBURY,Midnight Rumble,1m,9,81.0,294.05,0.0006348263
2023-10-05,13:52:00,SALISBURY,Warmonger,1m,11,201.0,690.0,0.00089419
2023-10-05,13:52:00,SALISBURY,Matsuri,1m,2,3.75,4.6,0.57817316
2023-10-05,13:52:00,SALISBURY,Hosaamm,1m,3,6.0,6.28,0.601895
2023-10-05,13:52:00,SALISBURY,La Pasionaria,1m,1,9.0,10.71,0.1518506
2023-10-05,13:52:00,SALISBURY,Oh What Fun,1m,8,12.0,14.84,0.20450723
2023-10-05,13:52:00,SALISBURY,Normandy Legend,1m,10,21.0,31.72,0.09590308
2023-10-05,13:52:00,SALISBURY,Promethean,1m,5,67.0,140.0,0.00545561
2023-10-05,13:52:00,SALISBURY,Magnum Opus,1m,6,67.0,143.07,0.0018890782
2023-10-05,13:52:00,SALISBURY,Double Red,1m,7,67.0,265.47,0.00068818225
2023-10-05,14:25:00,SALISBURY,Chequers Court,1m,6,4.0,4.3,0.42402664
2023-10-05,14:25:00,SALISBURY,Snow Eagle,1m,10,51.0,83.36,0.00092561595
2023-10-05,14:25:00,SALISBURY,Joycean Way,1m,5,4.33,4.66,0.39580974
2023-10-05,14:25:00,SALISBURY,Sea The Thunder,1m,2,5.0,5.1,0.10068731
2023-10-05,14:25:00,SALISBURY,Morawig,1m,7,7.0,7.61,0.633916
2023-10-05,14:25:00,SALISBURY,Mach Ten,1m,4,8.5,10.32,0.39829284
2023-10-05,14:25:00,SALISBURY,Saviour,1m,3,13.0,14.03,0.24303535
2023-10-05,14:25:00,SALISBURY,Sir Galahad,1m,8,15.0,23.0,0.11088472
2023-10-05,14:25:00,SALISBURY,Goodwood Odyssey,1m,1,21.0,29.61,0.06162358
2023-10-05,14:25:00,SALISBURY,One Cool Dreamer,1m,9,41.0,58.49,0.0011958231
2023-10-05,14:57:00,SALISBURY,Qirat,7f,2,1.83,1.95,0.7397865
2023-10-05,14:57:00,SALISBURY,Finbar Furey,7f,1,5.5,6.79,0.3492636
2023-10-05,14:57:00,SALISBURY,Inversion,7f,7,6.5,7.96,0.4598858
2023-10-05,14:57:00,SALISBURY,Point Given,7f,4,8.5,10.51,0.10631566
2023-10-05,14:57:00,SALISBURY,Lennon,7f,8,11.0,13.5,0.24941024
2023-10-05,14:57:00,SALISBURY,Secret Satire,7f,6,23.0,25.49,0.021125527
2023-10-05,14:57:00,SALISBURY,Myna,7f,5,67.0,96.59,0.005633512
2023-10-05,14:57:00,SALISBURY,Solar Power,7f,3,101.0,206.55,0.0009903503
2023-10-05,15:27:00,SALISBURY,Ten Bob Tony,7f,1,2.5,2.7,0.6321488
2023-10-05,15:27:00,SALISBURY,Indelible,7f,2,2.5,2.51,0.5073588
2023-10-05,15:27:00,SALISBURY,Waistcoat,7f,5,9.0,9.82,0.28190917
2023-10-05,15:27:00,SALISBURY,Viridian,7f,4,10.0,14.0,0.4376021
2023-10-05,15:27:00,SALISBURY,Fortydegree,7f,7,19.0,24.67,0.043013595
2023-10-05,15:27:00,SALISBURY,High Handed,7f,3,19.0,26.77,0.015179529
2023-10-05,15:27:00,SALISBURY,Never Dream,7f,6,51.0,88.3,0.0027108248
2023-10-05,15:57:00,SALISBURY,Palmar Bay,6f,1,4.0,4.9,0.56607807
2023-10-05,15:57:00,SALISBURY,Solar Aclaim,6f,2,4.0,4.73,0.27758664
2023-10-05,15:57:00,SALISBURY,Maximum Impact,6f,7,4.33,4.4,0.1915672
2023-10-05,15:57:00,SALISBURY,Jump Jet,6f,4,4.33,5.0,0.18504599
2023-10-05,15:57:00,SALISBURY,Von Baer,6f,3,8.0,9.59,0.11897185
2023-10-05,15:57:00,SALISBURY,Mrs Thrump,6f,5,26.0,41.14,0.02017243
