Date of Race,Time,Track,Horse,Distance,Place,Industry SP,Betfair SP,Predicted_Win_Probability
2023-01-01,12:25:00,MUSSELBURGH,Bringbackmemories,1m7½f,1,2.63,2.68,0.8225334
2023-01-01,12:25:00,MUSSELBURGH,Sanitiser,1m7½f,3,3.5,3.87,0.70768416
2023-01-01,12:25:00,MUSSELBURGH,Cabrakan,1m7½f,2,4.5,5.4,0.602644
2023-01-01,12:25:00,MUSSELBURGH,Paddys Fancy,1m7½f,5,7.5,9.71,0.49542257
2023-01-01,12:25:00,MUSSELBURGH,Duyfken,1m7½f,4,13.0,16.91,0.32297423
2023-01-01,12:25:00,MUSSELBURGH,Master Oliver,1m7½f,PU,21.0,26.72,0.21675548
2023-01-01,12:25:00,MUSSELBURGH,Ancora,1m7½f,PU,151.0,347.94,0.009066773
2023-01-01,12:25:00,MUSSELBURGH,Jad Mahal,1m7½f,PU,201.0,549.45,0.004123847
2023-01-01,12:40:00,CATTERICK,Park This One,2m3½f,1,1.53,1.59,0.9211977
2023-01-01,12:40:00,CATTERICK,Lady Mendoza,2m3½f,5,5.0,6.5,0.5939137
2023-01-01,12:40:00,CATTERICK,Happywifehappylife,2m3½f,2,7.5,10.71,0.46134466
2023-01-01,12:40:00,CATTERICK,Swallows Song,2m3½f,3,10.0,12.31,0.4652605
2023-01-01,12:40:00,CATTERICK,Parelliroc,2m3½f,4,29.0,65.0,0.055621855
2023-01-01,12:40:00,CATTERICK,Court Justice,2m3½f,7,81.0,134.57,0.012886814
2023-01-01,12:40:00,CATTERICK,Rebel Mc,2m3½f,6,126.0,303.52,0.010058212
2023-01-01,13:00:00,MUSSELBURGH,Brandy McQueen,3m,1,3.25,3.4,0.73075414
2023-01-01,13:00:00,MUSSELBURGH,Wonderoftheworld,3m,PU,67.0,170.0,0.020504035
2023-01-01,13:00:00,MUSSELBURGH,Cosmic Outlaw,3m,4,4.5,4.4,0.584719
2023-01-01,13:00:00,MUSSELBURGH,Lastofthecosmics,3m,3,5.0,6.4,0.6404233
2023-01-01,13:00:00,MUSSELBURGH,Lock Down Luke,3m,2,8.0,10.62,0.47698882
2023-01-01,13:00:00,MUSSELBURGH,Northern Falcon,3m,RO,12.0,12.78,0.42306966
2023-01-01,13:00:00,MUSSELBURGH,Pasture Beach,3m,5,13.0,21.0,0.31126466
2023-01-01,13:00:00,MUSSELBURGH,Not The Chablis,3m,PU,17.0,22.0,0.23682247
2023-01-01,13:00:00,MUSSELBURGH,No Mor Isolation,3m,7,19.0,21.79,0.30389476
2023-01-01,13:00:00,MUSSELBURGH,Dolly Dancer,3m,6,41.0,84.25,0.052546192
2023-01-01,13:15:00,CATTERICK,My Strong Man,3m1½f,2,4.5,4.94,0.6415591
2023-01-01,13:15:00,CATTERICK,Just Jess,3m1½f,1,4.5,5.32,0.6798247
2023-01-01,13:15:00,CATTERICK,Howzat Hiris,3m1½f,8,19.0,21.27,0.22959465
2023-01-01,13:15:00,CATTERICK,Tartan Cookie,3m1½f,3,29.0,46.82,0.13550854
2023-01-01,13:15:00,CATTERICK,Sight Nor Seen,3m1½f,PU,81.0,148.58,0.01512731
2023-01-01,13:15:00,CATTERICK,Monticello,3m1½f,PU,8.0,8.9,0.5628111
2023-01-01,13:15:00,CATTERICK,Storm Force One,3m1½f,PU,8.5,9.86,0.47006884
2023-01-01,13:15:00,CATTERICK,Kildrum,3m1½f,9,9.0,13.51,0.48932523
2023-01-01,13:15:00,CATTERICK,Sir Jim,3m1½f,7,11.0,10.26,0.39934224
2023-01-01,13:15:00,CATTERICK,Kilganer Queen,3m1½f,6,12.0,13.59,0.34313372
2023-01-01,13:15:00,CATTERICK,Punta Prima,3m1½f,4,13.0,13.58,0.2823067
2023-01-01,13:15:00,CATTERICK,Ribeye,3m1½f,5,15.0,20.0,0.2244655
2023-01-01,13:35:00,MUSSELBURGH,Minella Drama,2m4½f,1,3.5,3.54,0.76077473
2023-01-01,13:35:00,MUSSELBURGH,Coopers Cross,2m4½f,2,4.0,4.2,0.7194971
2023-01-01,13:35:00,MUSSELBURGH,Pay The Piper,2m4½f,4,4.0,4.3,0.68825126
2023-01-01,13:35:00,MUSSELBURGH,Half Shot,2m4½f,3,8.0,10.5,0.4373183
2023-01-01,13:35:00,MUSSELBURGH,Cedar Hill,2m4½f,5,11.0,13.81,0.4564433
2023-01-01,13:35:00,MUSSELBURGH,Gold Des Bois,2m4½f,6,13.0,15.5,0.32479352
2023-01-01,13:35:00,MUSSELBURGH,Antey,2m4½f,7,41.0,91.04,0.10447172
2023-01-01,13:50:00,CATTERICK,Git Maker,3m1f,1,1.62,1.78,0.9378345
2023-01-01,13:50:00,CATTERICK,Bardenstown Lad,3m1f,3,3.0,3.49,0.68411344
2023-01-01,13:50:00,CATTERICK,Tupelo Mississippi,3m1f,2,9.0,9.88,0.55468684
2023-01-01,13:50:00,CATTERICK,Thunderosa,3m1f,4,29.0,38.72,0.10106987
2023-01-01,14:10:00,MUSSELBURGH,Dondiam,2m4½f,F,3.75,4.62,0.796345
2023-01-01,14:10:00,MUSSELBURGH,New Zealander,2m4½f,8,29.0,65.0,0.11886862
2023-01-01,14:10:00,MUSSELBURGH,Everyday Champagne,2m4½f,6,4.33,5.07,0.6117675
2023-01-01,14:10:00,MUSSELBURGH,Warriors Story,2m4½f,PU,5.5,5.83,0.5730752
2023-01-01,14:10:00,MUSSELBURGH,Shanbally Rose,2m4½f,5,9.0,9.76,0.4478754
2023-01-01,14:10:00,MUSSELBURGH,Dr Shirocco,2m4½f,2,10.0,13.65,0.39771986
2023-01-01,14:10:00,MUSSELBURGH,Shoughalls Boy,2m4½f,4,13.0,15.07,0.37740892
2023-01-01,14:10:00,MUSSELBURGH,Bannside,2m4½f,10,21.0,23.57,0.22966301
2023-01-01,14:10:00,MUSSELBURGH,Thunder In Milan,2m4½f,7,23.0,33.6,0.20786463
2023-01-01,14:10:00,MUSSELBURGH,Large Action,2m4½f,1,26.0,32.0,0.16313775
2023-01-01,14:10:00,MUSSELBURGH,En Meme Temps,2m4½f,3,26.0,28.02,0.20470008
2023-01-01,14:10:00,MUSSELBURGH,Idilico,2m4½f,9,26.0,30.0,0.12689574
2023-01-01,14:25:00,CATTERICK,Matchless,1m7½f,1,2.38,2.5,0.6816861
2023-01-01,14:25:00,CATTERICK,Whitehaven,1m7½f,3,3.0,3.15,0.78179467
2023-01-01,14:25:00,CATTERICK,Legendary Day,1m7½f,2,4.33,5.4,0.6543033
2023-01-01,14:25:00,CATTERICK,Fiftyshadesaresdev,1m7½f,6,11.0,15.1,0.3196578
2023-01-01,14:25:00,CATTERICK,Prospect House,1m7½f,4,34.0,70.0,0.025710901
2023-01-01,14:25:00,CATTERICK,Red Command,1m7½f,5,51.0,130.0,0.0400984
2023-01-01,14:45:00,MUSSELBURGH,Homme Public,1m7½f,5,4.0,4.1,0.7182483
2023-01-01,14:45:00,MUSSELBURGH,Cuban Cigar,1m7½f,4,26.0,35.1,0.20185788
2023-01-01,14:45:00,MUSSELBURGH,Al Zaraqaan,1m7½f,7,4.5,5.14,0.63218707
2023-01-01,14:45:00,MUSSELBURGH,First Impression,1m7½f,9,5.0,5.32,0.52494353
2023-01-01,14:45:00,MUSSELBURGH,Voix Du Reve,1m7½f,8,11.0,14.24,0.32381767
2023-01-01,14:45:00,MUSSELBURGH,Collingham,1m7½f,2,11.0,15.51,0.48489472
2023-01-01,14:45:00,MUSSELBURGH,Nayati,1m7½f,1,12.0,14.5,0.32432413
2023-01-01,14:45:00,MUSSELBURGH,Socialist Agenda,1m7½f,6,13.0,17.09,0.30333367
2023-01-01,14:45:00,MUSSELBURGH,Thereisnodoubt,1m7½f,3,15.0,21.32,0.25371483
2023-01-01,14:45:00,MUSSELBURGH,Sizing Mauritius,1m7½f,F,19.0,27.56,0.2146021
2023-01-01,15:00:00,CATTERICK,Tom Creen,3m1f,2,2.25,2.5,0.85667306
2023-01-01,15:00:00,CATTERICK,Catlin,3m1f,3,7.5,6.98,0.43209332
2023-01-01,15:00:00,CATTERICK,Absolutely Dylan,3m1f,7,7.5,8.2,0.53887564
2023-01-01,15:00:00,CATTERICK,Skyhill,3m1f,1,8.5,12.0,0.39193937
2023-01-01,15:00:00,CATTERICK,Faitque De LIsle,3m1f,6,11.0,13.45,0.387185
2023-01-01,15:00:00,CATTERICK,The Very Thing,3m1f,PU,12.0,14.03,0.34051636
2023-01-01,15:00:00,CATTERICK,Maid Of Houxty,3m1f,4,13.0,19.0,0.24645655
2023-01-01,15:00:00,CATTERICK,Amber Run,3m1f,PU,17.0,20.32,0.23978963
2023-01-01,15:00:00,CATTERICK,Alone No More,3m1f,5,34.0,55.0,0.110544555
2023-01-01,15:20:00,MUSSELBURGH,Benson,2m4f,1,3.0,3.15,0.7677743
2023-01-01,15:20:00,MUSSELBURGH,Holmes St Georges,2m4f,2,4.33,4.57,0.6559523
2023-01-01,15:20:00,MUSSELBURGH,Ilanz,2m4f,3,5.0,4.98,0.60168076
2023-01-01,15:20:00,MUSSELBURGH,Findthetime,2m4f,4,6.5,8.4,0.5198847
2023-01-01,15:20:00,MUSSELBURGH,Ginger Mail,2m4f,5,10.0,12.5,0.29998583
2023-01-01,15:20:00,MUSSELBURGH,Gaelik Coast,2m4f,F,13.0,17.92,0.19531138
2023-01-01,15:20:00,MUSSELBURGH,Aurora Thunder,2m4f,7,26.0,57.45,0.15745229
2023-01-01,15:20:00,MUSSELBURGH,Excelcius,2m4f,6,126.0,314.73,0.012954048
2023-01-01,15:35:00,CATTERICK,Cartonne,1m7½f,7,4.33,4.61,0.6868965
2023-01-01,15:35:00,CATTERICK,Belvedere Blast,1m7½f,PU,26.0,36.7,0.05736189
2023-01-01,15:35:00,CATTERICK,Edgar Allan Poe,1m7½f,1,29.0,38.37,0.0496018
2023-01-01,15:35:00,CATTERICK,Belle Na Bann,1m7½f,4,34.0,52.03,0.047346823
2023-01-01,15:35:00,CATTERICK,Snowed In,1m7½f,PU,41.0,55.95,0.042446427
2023-01-01,15:35:00,CATTERICK,Miltiades,1m7½f,2,5.0,5.91,0.5309037
2023-01-01,15:35:00,CATTERICK,Bashful,1m7½f,3,5.5,6.31,0.3847623
2023-01-01,15:35:00,CATTERICK,Coup De Gold,1m7½f,5,5.5,7.0,0.5087493
2023-01-01,15:35:00,CATTERICK,Heritier,1m7½f,9,6.5,8.8,0.45915875
2023-01-01,15:35:00,CATTERICK,Nechako,1m7½f,10,19.0,23.0,0.25142854
