Date of Race,Time,Track,Horse,Distance,Place,Industry SP,Betfair SP,Predicted_Win_Probability
2025-07-12,17:40:00,SALISBURY,My Boy Jack,6f,2,4.0,4.43,0.38526186
2025-07-12,17:40:00,SALISBURY,Little Miss Magic,6f,3,4.0,4.12,0.23168306
2025-07-12,17:40:00,SALISBURY,The Cola Kid,6f,5,4.33,4.68,0.18775006
2025-07-12,17:40:00,SALISBURY,Silent Flame,6f,1,5.0,5.71,0.27447218
2025-07-12,17:40:00,SALISBURY,Thank The Lord,6f,4,6.5,7.03,0.44963533
2025-07-12,18:15:00,SALISBURY,A Bit Of Spirit,7f,1,1.36,1.39,0.87361616
2025-07-12,18:15:00,SALISBURY,Shahik,7f,3,7.0,8.59,0.39237157
2025-07-12,18:15:00,SALISBURY,Wield,7f,4,9.0,11.0,0.21270972
2025-07-12,18:15:00,SALISBURY,McMurray,7f,2,11.0,13.5,0.1333851
2025-07-12,18:45:00,SALISBURY,Palio Di Siena,7f,2,2.75,2.9,0.7316065
2025-07-12,18:45:00,SALISBURY,Silent Storm,7f,3,3.13,3.85,0.45846733
2025-07-12,18:45:00,SALISBURY,Swiss Lightning,7f,5,3.5,3.85,0.2515595
2025-07-12,18:45:00,SALISBURY,Aspull,7f,1,7.5,8.4,0.2908098
2025-07-12,18:45:00,SALISBURY,Valentine Boy,7f,4,41.0,80.0,0.003301683
2025-07-12,18:45:00,SALISBURY,Saint Terry,7f,7,81.0,360.0,0.0027863826
2025-07-12,18:45:00,SALISBURY,Dreamcrafter,7f,8,101.0,440.0,0.002741694
2025-07-12,18:45:00,SALISBURY,Signore Enzo,7f,6,101.0,370.0,0.006659676
2025-07-12,19:20:00,SALISBURY,Soul Dance,1m2f,2,2.38,2.56,0.64328545
2025-07-12,19:20:00,SALISBURY,Patsy Snugfit,1m2f,1,3.75,4.0,0.3074246
2025-07-12,19:20:00,SALISBURY,North Star,1m2f,3,4.33,5.0,0.35579982
2025-07-12,19:20:00,SALISBURY,Queen Of Thieves,1m2f,4,5.5,5.82,0.23152198
2025-07-12,19:50:00,SALISBURY,Loving Look,1m4f,4,2.0,2.06,0.22725679
2025-07-12,19:50:00,SALISBURY,Lexington Knight,1m4f,1,5.5,6.0,0.18200065
2025-07-12,19:50:00,SALISBURY,Crystal Mariner,1m4f,3,7.0,7.6,0.25637388
2025-07-12,19:50:00,SALISBURY,Papagei,1m4f,2,7.0,7.8,0.14864741
2025-07-12,19:50:00,SALISBURY,Taritino,1m4f,5,9.0,11.12,0.09061594
2025-07-12,20:20:00,SALISBURY,Grand Harbour,1m4f,3,2.75,2.74,0.5599177
2025-07-12,20:20:00,SALISBURY,Emily Rebecca,1m4f,1,3.0,3.35,0.69111997
2025-07-12,20:20:00,SALISBURY,Shabu Shabu,1m4f,2,3.25,3.6,0.3429499
2025-07-12,20:20:00,SALISBURY,Godstone,1m4f,4,15.0,18.0,0.07343948
2025-07-12,20:20:00,SALISBURY,Naturally,1m4f,5,51.0,80.0,0.021075705
2025-06-25,14:25:00,SALISBURY,Victorious One,7f,2,1.4,1.44,0.9363355
2025-06-25,14:25:00,SALISBURY,Island Bear,7f,3,5.0,6.98,0.2510438
