Date of Race,Time,Track,Horse,Distance,Place,Industry SP,Betfair SP,Predicted_Win_Probability,Race_ID,Predicted_Rank,Top_3_Flag,Odds_To_Use,Expected_Value,Field_Size,Kelly_Fraction,Reject_Reason,Winrate_Threshold,Bet_Placed,Stake,Actual_Result,Bet_Return,Bankroll_After_Race
2023-05-18,14:35:00,SALISBURY,Novation,5f,4.0,2.38,2.48,0.25838815111718577,2023-05-18_14:35:00,1.0,True,2.38,-0.3850362003410979,5,-0.2790117393776072,kelly_low|ev_low|,0,False,0.0,0,0.0,10000.0
2023-06-18,15:25:00,SALISBURY,Alyanaabi,6f,1.0,2.38,2.58,0.315978473331624,2023-06-18_15:25:00,1.0,True,2.38,-0.24797123347073496,5,-0.17968929961647462,kelly_low|ev_low|,0,False,0.0,1,0.0,9685.980772461524
2023-08-17,16:10:00,SALISBURY,Embesto,1m,1.0,1.91,2.01,0.3809391066036588,2023-08-17_16:10:00,1.0,True,1.91,-0.2724063063870117,5,-0.2993475894362766,kelly_low|ev_low|,0,False,0.0,1,0.0,9685.980772461524
2024-05-05,16:30:00,SALISBURY,Hakuna Babe,1m2f,2.0,2.63,2.92,0.2996436477303868,2024-05-05_16:30:00,1.0,True,2.63,-0.21193720646908276,5,-0.130022826054652,kelly_low|ev_low|,0,False,0.0,0,0.0,9249.761925003597
2024-05-05,17:05:00,SALISBURY,Sam Hawkens,1m4f,1.0,1.44,1.5,0.5865383704788701,2024-05-05_17:05:00,1.0,True,1.44,-0.15538474651042705,4,-0.3531471511600615,kelly_low|ev_low|,0,False,0.0,1,0.0,9249.761925003597
2024-06-26,13:45:00,SALISBURY,Wild Clary,7f,2.0,1.4,1.19,0.6823240980810106,2024-06-26_13:45:00,1.0,True,1.4,-0.04474626268658527,4,-0.1118656567164632,kelly_low|ev_low|,0,False,0.0,0,0.0,9341.367923451675
2024-06-26,16:50:00,SALISBURY,Delicacy,1m,3.0,2.75,2.96,0.3277374838807739,2024-06-26_16:50:00,1.0,True,2.75,-0.09872191932787189,5,-0.05641252533021251,kelly_low|ev_low|,0,False,0.0,0,0.0,9265.890259049824
2025-05-04,14:00:00,SALISBURY,Piazza,5f,4.0,1.91,2.06,0.3808052050784207,2025-05-04_14:00:00,1.0,True,1.91,-0.27266205830021645,4,-0.2996286354947434,kelly_low|ev_low|,0,False,0.0,0,0.0,11860.308305087861
2025-05-04,15:10:00,SALISBURY,El Matador,7f,1.0,1.4,1.44,0.6382376444555202,2025-05-04_15:10:00,1.0,True,1.4,-0.10646729776227176,4,-0.2661682444056795,kelly_low|ev_low|,0,False,0.0,1,0.0,12844.852516506518
2025-05-15,17:15:00,SALISBURY,Yellow Card,1m4f,1.0,1.67,1.72,0.46692358317218935,2025-05-15_17:15:00,1.0,True,1.67,-0.22023761610244375,5,-0.3287128598543937,kelly_low|ev_low|,0,False,0.0,1,0.0,12903.797435656541
2025-06-15,14:50:00,SALISBURY,Hover,1m,1.0,2.88,3.15,0.29878057741205827,2025-06-15_14:50:00,1.0,True,2.88,-0.13951193705327225,5,-0.07420847715599588,kelly_low|ev_low|,0,False,0.0,1,0.0,12903.797435656541
2025-06-15,16:30:00,SALISBURY,Wujjood,1m2f,3.0,1.83,1.96,0.3600594340707494,2025-06-15_16:30:00,1.0,True,1.83,-0.34109123565052846,4,-0.4109532959644921,kelly_low|ev_low|,0,False,0.0,0,0.0,12903.797435656541
2025-06-25,14:25:00,SALISBURY,Victorious One,7f,2.0,1.4,1.44,0.5871607964042155,2025-06-25_14:25:00,1.0,True,1.4,-0.1779748850340984,5,-0.4449372125852461,kelly_low|ev_low|,0,False,0.0,0,0.0,12903.797435656541
2025-06-25,14:55:00,SALISBURY,Blind Beggar,5f,3.0,2.38,2.56,0.34542705834427195,2025-06-25_14:55:00,1.0,True,2.38,-0.17788360114063273,4,-0.12890116024683532,kelly_low|ev_low|,0,False,0.0,0,0.0,12903.797435656541
2025-06-25,15:55:00,SALISBURY,Kodi Lion,6f,4.0,2.5,2.48,0.3760412650046266,2025-06-25_15:55:00,1.0,True,2.5,-0.05989683748843355,5,-0.03993122499228904,kelly_low|ev_low|,0,False,0.0,0,0.0,12903.797435656541
2025-07-12,18:15:00,SALISBURY,A Bit Of Spirit,7f,1.0,1.36,1.39,0.541917757251327,2025-07-12_18:15:00,1.0,True,1.36,-0.26299185013819526,4,-0.7305329170505422,kelly_low|ev_low|,0,False,0.0,1,0.0,12711.366679507259
2025-07-12,19:20:00,SALISBURY,Soul Dance,1m2f,2.0,2.38,2.56,0.4182523593383323,2025-07-12_19:20:00,1.0,True,2.38,-0.004559384774769137,4,-0.0033039020107022738,kelly_low|ev_low|,0,False,0.0,0,0.0,12711.366679507259
